        s,        t,        r,      phi,        x,        y
    0.000,-1658.110, 43.28022, -1.08772,  20.1040, -38.3276
    8.220,-1649.734, 43.96153, -1.07121,  21.0605, -38.5885
   16.440,-1641.360, 44.63658, -1.05520,  22.0084, -38.8337
   24.660,-1632.989, 45.30539, -1.03966,  22.9477, -39.0638
   32.880,-1624.621, 45.96801, -1.02458,  23.8786, -39.2794
   41.100,-1616.256, 46.62447, -1.00992,  24.8010, -39.4811
   49.319,-1607.893, 47.27482, -0.99567,  25.7149, -39.6693
   57.539,-1599.533, 47.91909, -0.98180,  26.6204, -39.8446
   65.759,-1591.175, 48.55734, -0.96830,  27.5177, -40.0074
   73.979,-1582.819, 49.18962, -0.95514,  28.4066, -40.1582
   82.199,-1574.466, 49.81598, -0.94232,  29.2874, -40.2974
   90.419,-1566.114, 50.43646, -0.92982,  30.1600, -40.4254
   98.639,-1557.765, 51.05113, -0.91762,  31.0245, -40.5426
  106.859,-1549.418, 51.66004, -0.90571,  31.8810, -40.6493
  115.079,-1541.073, 52.26324, -0.89407,  32.7296, -40.7458
  123.299,-1532.729, 52.86078, -0.88270,  33.5703, -40.8326
  131.519,-1524.388, 53.45273, -0.87158,  34.4032, -40.9099
  139.738,-1516.048, 54.03914, -0.86070,  35.2283, -40.9780
  147.958,-1507.710, 54.62005, -0.85006,  36.0458, -41.0371
  156.178,-1499.373, 55.19554, -0.83964,  36.8558, -41.0877
  164.398,-1491.038, 55.76564, -0.82943,  37.6582, -41.1299
  172.618,-1482.705, 56.33042, -0.81943,  38.4532, -41.1639
  180.838,-1474.373, 56.88993, -0.80963,  39.2408, -41.1901
  189.058,-1466.043, 57.44422, -0.80002,  40.0211, -41.2086
  197.278,-1457.714, 57.99334, -0.79059,  40.7942, -41.2196
  205.498,-1449.386, 58.53734, -0.78133,  41.5601, -41.2235
  213.718,-1441.060, 59.07628, -0.77225,  42.3190, -41.2203
  221.937,-1432.735, 59.61021, -0.76333,  43.0708, -41.2102
  230.157,-1424.411, 60.13917, -0.75456,  43.8157, -41.1935
  238.377,-1416.089, 60.66322, -0.74595,  44.5537, -41.1703
  246.597,-1407.767, 61.18239, -0.73749,  45.2848, -41.1409
  254.817,-1399.447, 61.69675, -0.72916,  46.0092, -41.1052
  263.037,-1391.128, 62.20633, -0.72098,  46.7269, -41.0636
  271.257,-1382.811, 62.71118, -0.71292,  47.4380, -41.0162
  279.477,-1374.494, 63.21134, -0.70500,  48.1425, -40.9631
  287.697,-1366.178, 63.70687, -0.69720,  48.8405, -40.9044
  295.917,-1357.863, 64.19780, -0.68952,  49.5320, -40.8404
  304.137,-1349.550, 64.68418, -0.68195,  50.2172, -40.7710
  312.356,-1341.237, 65.16604, -0.67450,  50.8960, -40.6966
  320.576,-1332.925, 65.64343, -0.66715,  51.5685, -40.6171
  328.796,-1324.614, 66.11640, -0.65992,  52.2349, -40.5327
  337.016,-1316.304, 66.58497, -0.65278,  52.8950, -40.4435
  345.236,-1307.995, 67.04919, -0.64574,  53.5490, -40.3497
  353.456,-1299.687, 67.50909, -0.63880,  54.1970, -40.2512
  361.676,-1291.380, 67.96472, -0.63196,  54.8390, -40.1484
